Name	Set	Imagefile	Number	Type	Affiliation	Offense	Cost	Ilustrador	Skills	Bloque	Edicion	Rework
Guardia Gozosa	espada_sagrada_aniversario	32	32	Totem			3	JUAN ESTEBAN DEL PINO	Cuando Guardia Gozosa entra en juego, un Aliado oponente pierde su habilidad y es destruido. Puedes destruir Guardia Gozosa para barajar una carta de tu Cementerio en tu Mazo Castillo.	Primer Bloque	Espada Sagrada	
Draig Ifanc	espada_sagrada_aniversario	33	33	Aliado	Dragon	2	3	JUAN VÁSQUEZ	Cuando Draig Ifanc entra en juego, puedes robar una carta. Si Draig Ifanc es destruido o barajado del juego y sólo controlas Aliados Dragón, puedes buscar un Oro en tu Mazo Castillo y ponerlo en juego.	Primer Bloque	Espada Sagrada	
Cathach	espada_sagrada_aniversario	34	34	Aliado	Dragon	2	3	JUAN ESTEBAN DEL PINO	Cuando Cathach entra en juego, puedes barajar 2 cartas de tu Cementerio en tu Mazo Castillo. Los Aliados oponentes pierden 1 a la fuerza mientras sólo controles Aliados de raza Dragón.	Primer Bloque	Espada Sagrada	
Nimue	espada_sagrada_aniversario	35	35	Aliado	Faerie	2	3	NITROX	En tu Fase de Vigilia y una vez por turno, puedes elegir un Aliado de raza Faerie de tu Cementerio para que Nimue se convierta en una copia exacta de esa carta hasta tu Fase Final.	Primer Bloque	Espada Sagrada	
Toque de Persival	espada_sagrada_aniversario	36	36	Talisman			1	NITROX	Baraja un Aliado oponente que haya sido declarado atacante o bloqueador esté turno. Carta Única.	Primer Bloque	Espada Sagrada	
Rey Arturo Pendragon	espada_sagrada_aniversario	37	37	Aliado	Caballero	2	5	WALDO RETAMALES	Solo puedes tener en juego a un Rey Arturo Pendragón. Mientras esté en juego, tus Caballeros ganan + 1 a la fuerza y tu oponente bota 2 cartas en cada fase de agrupación. En respuesta a que sea destruido, puedes descartar 2 para salvarlo.	Primer Bloque	Espada Sagrada	
Reina Guinivere	espada_sagrada_aniversario	38	38	Aliado	Caballero	2	4	ANDRÉS SILVA	Cuando Reina Guinivere entra en juego, puedes buscar un Caballero en tu Mazo Castillo y ponerlo en tu Mano. En tu Fase de Vigilia y una vez por turno, genera 2 Oros para jugar Armas o 1 Oro para jugar Caballeros.	Primer Bloque	Espada Sagrada	
Morgana	espada_sagrada_aniversario	39	39	Aliado	Faerie	2	4	MAURICIO HERRERA	Solo puedes tener una Morgana en juego. En tu fase de vigilia y una vez por turno, puedes destruir uno de tus aliados para desterrar un aliado oponente.	Primer Bloque	Espada Sagrada	
Sir Boores	espada_sagrada_aniversario	40	40	Aliado	Caballero	2	5	GABRIEL RODRÍGUEZ	Tus Caballeros ganan + 2 a la fuerza, mientras Sir Boores esté en juego.	Primer Bloque	Espada Sagrada	
Sir Persival	espada_sagrada_aniversario	41	41	Aliado	Caballero	2	3	WALDO RETAMALES	Cuando Sir Pérsival entra en juego, baraja un Aliado oponente.	Primer Bloque	Espada Sagrada	
Sir Bedivere	espada_sagrada_aniversario	42	42	Aliado	Caballero	2	4	GABRIEL RODRÍGUEZ	Mientras Sir Bedivere esté en juego, en tu fase de vigilia y una vez por turno, puedes nombrar un Aliado, si tu oponente lo tiene en su mano, lo bajas a tu línea de defensa sin pagar su coste. Se considera uno de tus Aliados hasta el final del juego.	Primer Bloque	Espada Sagrada	
Dragon de Magma	espada_sagrada_aniversario	43	43	Aliado	Dragon	3	4	MAURICIO HERRERA	Cuando Dragón de Magma entra en juego, destruye un Aliado oponente.	Primer Bloque	Espada Sagrada	
Dragon Demonio	espada_sagrada_aniversario	44	44	Aliado	Dragon	5	0	MAURICIO HERRERA	Dragón Demonio debe atacar cuando entra en juego. No puede ser afectado por Talismanes. Al final de esté turno, destiérralo. Carta única.	Primer Bloque	Espada Sagrada	
Dragon de Luz	espada_sagrada_aniversario	45	45	Aliado	Dragon	3	5	MAURICIO HERRERA	En tu Fase Vigilia, solo una vez por turno, puedes Barajar 3 cartas de tu Cementerio en tu Mazo Castillo. Si lo haces, Dragón de Luz no puede ser declarado atacante esté turno.	Primer Bloque	Espada Sagrada	
Dragon Nube	espada_sagrada_aniversario	46	46	Aliado	Dragon	3	4	JUAN VÁSQUEZ	Cuando Dragón Nube entra en juego, puedes elegir entre robar 2 cartas o que tu oponente bote 2.	Primer Bloque	Espada Sagrada	
¡Desleal!	espada_sagrada_aniversario	47	47	Talisman			3	JUAN VÁSQUEZ	Destierra un Aliado oponente.	Primer Bloque	Espada Sagrada	
Bola de Fuego	espada_sagrada_aniversario	48	48	Talisman			2	WALDO RETAMALES	Destruye una carta en juego, que no sea un oro.	Primer Bloque	Espada Sagrada	
Fe sin Limite	espada_sagrada_aniversario	49	49	Talisman			1	ANDRÉS SILVA	Anula un Talismán.	Primer Bloque	Espada Sagrada	
Dragon Dorado	espada_sagrada_aniversario	50	50	Talisman			0	CHAMÁN	Cuando juegues a Dragón Dorado, destiérralo. Anula una carta que no sea Oro. Carta Única.	Primer Bloque	Espada Sagrada	1
Capa de Invisibilidad	espada_sagrada_aniversario	51	51	Talisman			2	CHAMÁN	Cuando entra en juego una carta oponente que no sea Oro, puedes jugar Capa de Invisibilidad para barajar esa carta en el Mazo Castillo de su dueño.	Primer Bloque	Espada Sagrada	
Codex Arturicus	espada_sagrada_aniversario	52	52	Oro				MAURICIO HERRERA	En la Fase de Asignación de Daño, puedes Desterrar a Códex Arturicus para reducir todo el daño a 0. Carta Única.	Primer Bloque	Espada Sagrada	
Herrero	espada_sagrada_aniversario	53	53	Oro				JUAN VÁSQUEZ	En tu Fase de Vigilia puedes pagar a Herrero para generar 2 Oros para jugar Armas. Si Herrero fuese a perder su Habilidad, es Destruido.	Primer Bloque	Espada Sagrada	
Sir Robin de Lockesley	espada_sagrada_aniversario	54	54	Aliado	Caballero	3	3	WALDO RETAMALES	Cuando Sir Robin de Lockesley entra en juego, gana el control de un Aliado en la Línea de Defensa oponente hasta la Fase Final.	Primer Bloque	Espada Sagrada	1
Felipe II	espada_sagrada_aniversario	55	55	Aliado	Caballero	2	4	MAURICIO HERRERA	Cada vez que Felipe II entre o salga del juego, destruye una carta Oro oponente (Carta Única).	Primer Bloque	Espada Sagrada	
Saladino	espada_sagrada_aniversario	56	56	Aliado	Caballero	1	3	MAURICIO HERRERA	En tu fase de Vigilia, Saladino genera 2 Oros (Carta Única).	Primer Bloque	Espada Sagrada	
Mercaderes	espada_sagrada_aniversario	57	57	Oro				MAURICIO HERRERA	En respuesta a la Declaración de Ataque oponente, puedes mover Mercaderes a tu Línea de Defensa, y considéralo como un Aliado bloqueador de fuerza 3. En tu Fase Final, Destrúyelo. Si no es destruido vuelve a la Zona de Oro de la cual fue movido.	Primer Bloque	Espada Sagrada	
Cruz Templaria	espada_sagrada_aniversario	58	58	Oro				MAURICIO HERRERA	En tu Fase de Vigilia, puedes Desterrar a Cruz Templaria para buscar un Aliado en tu Mazo Castillo y jugarlo pagando su coste. En la Fase Final, ese Aliado debe ser Desterrado. Carta Única.	Primer Bloque	Espada Sagrada	
Dragones	espada_sagrada_aniversario	59	59	Oro				MYL	Sólo puedes tener un Dragones en juego. Sólo puede ser jugado desde tu mano. En tu Fase de Vigilia, puedes pagar esté Oro para generar 2 Oros para pagar Aliados de raza Dragón de coste 4 o más.	Primer Bloque	Espada Sagrada	
Sir Balin	espada_sagrada_aniversario	60	60	Aliado	Caballero	4	3	CHRISTIAN AGUIRRE	No tiene límite de Armas. esté Aliado sólo puede atacar si controlas una o más Armas. Si hace daño al Mazo Castillo oponente, roba una carta.	Primer Bloque	Espada Sagrada	
Criatura Familiar	espada_sagrada_aniversario	61	61	Aliado	Faerie	2	2	JUAN ESTEBAN DEL PINO	En tu Fase de Vigilia, si sólo controlas Aliados Faerie, puedes descartar una carta y pagar 2 Oros para jugar Criatura Familiar desde tu Cementerio sin pagar su coste.	Primer Bloque	Espada Sagrada	
Juramento Feerico	espada_sagrada_aniversario	62	62	Talisman			2	WALDO RETAMALES	Busca un Arma en tu Mazo Castillo o Cementerio y juégala en un Aliado que controles reduciendo su coste en 1 Oro. El Aliado portador puede ser declarado atacante esté turno.	Primer Bloque	Espada Sagrada	
Sir Tristan	espada_sagrada_aniversario	63	63	Aliado	Caballero	1	3	ANDRÉS SILVA	Cuando Sir Tristán entra en juego, busca una carta en tu cementerio y pónla en tu mano.	Primer Bloque	Espada Sagrada	
Sir Galahad	espada_sagrada_aniversario	64	64	Aliado	Caballero	2	3	GABRIEL RODRÍGUEZ	Sir Galahad puede atacar cuando entra en juego. Si hace daño al mazo castillo oponente, descártale 1 al azar.	Primer Bloque	Espada Sagrada	
Federico Barbarroja	espada_sagrada_aniversario	65	65	Aliado	Caballero	1	4	MAURICIO HERRERA	No tiene límite de Armas. Si hace daño al mazo castillo oponente, puedes buscar un Aliado de su misma fuerza en tu mazo castillo y ponerlo en tu línea de defensa.	Primer Bloque	Espada Sagrada	
Ricardo Corazon de Leon	espada_sagrada_aniversario	66	66	Aliado	Caballero	2	3	MAURICIO HERRERA	En tu fase de vigilia, y una vez por turno, destierra una carta de tu mano para mirar la de tu oponente y luego elige una carta que no podrá ser jugada en su próximo turno.	Primer Bloque	Espada Sagrada	
Dragon de Eter	espada_sagrada_aniversario	67	67	Aliado	Dragon	3	4	MAURICIO HERRERA	Cuando Dragón de Eter es declarado atacante, todos los Aliados oponentes ganan - 1 a la fuerza hasta el final del turno.	Primer Bloque	Espada Sagrada	
Dragon de Aire	espada_sagrada_aniversario	68	68	Aliado	Dragon	4	4	CARLOS HERRERA	Dragón del Aire puede atacar cuando entra en juego.	Primer Bloque	Espada Sagrada	
Dragon del Agua	espada_sagrada_aniversario	69	69	Aliado	Dragon	5	5	ANDRÉS SILVA	Cuando Dragón del Agua entra en juego, los Dragones no pueden ser afectados por Talismanes hasta el final del turno.	Primer Bloque	Espada Sagrada	
Dragon de Plata	espada_sagrada_aniversario	70	70	Aliado	Dragon	3	6	WALDO RETAMALES	Mientras Dragón de Plata esté en juego: en tu fase de vigilia, puedes eligir entre pagar 1 de oro para robar 1 carta; pagar 2 de oro para descartar 1 de tu oponente al azar; o pagar 3 de oro para que tu oponente bote 2 cartas.	Primer Bloque	Espada Sagrada	
Dragon Cobrizo	espada_sagrada_aniversario	71	71	Aliado	Dragon	2	3	MAURICIO HERRERA	En tu fase de vigilia, genera 2 oros para bajar Dragones.	Primer Bloque	Espada Sagrada	
Dragon de Bronce	espada_sagrada_aniversario	72	72	Aliado	Dragon	3	4	MAURICIO HERRERA	Cuando Dragón de Bronce sea declarado atacante, debe ser bloqueado por un Aliado oponente a tu elección.	Primer Bloque	Espada Sagrada	
Kernuac El Cazador	espada_sagrada_aniversario	73	73	Aliado	Dragon	3	4	MAURICIO HERRERA	En tu fase de vigilia, puedes destruir a Kernuac, El Cazador, para buscar 2 cartas del mazo castillo oponente y desterrarlas.	Primer Bloque	Espada Sagrada	
El Poeta	espada_sagrada_aniversario	74	74	Aliado	Faerie	2	3	MAURICIO HERRERA	Cuando entra en juego, nombra una carta para que no pueda ser jugada mientras El Poeta esté en juego.	Primer Bloque	Espada Sagrada	
Titania	espada_sagrada_aniversario	75	75	Aliado	Faerie	1	4	JUAN VÁSQUEZ	Mientras Titania esté en juego, tus demás Faeries ganan + 1 a la fuerza y pueden atacar cuando entran en juego.	Primer Bloque	Espada Sagrada	
Belial el Bestial	espada_sagrada_aniversario	76	76	Aliado	Faerie	3	4	MAURICIO HERRERA	Belial, El Bestial, gana + 1 a la fuerza por cada faerie que tengas en juego.	Primer Bloque	Espada Sagrada	
La Dama del Lago	espada_sagrada_aniversario	77	77	Aliado	Faerie	1	4	WALDO RETAMALES	Cuando La Dama del Lago entra en juego, puedes buscar un arma en tu mazo castillo o cementerio y ponerla en juego sin pagar su coste.	Primer Bloque	Espada Sagrada	
Alto Druida	espada_sagrada_aniversario	78	78	Aliado	Faerie	4	3	VENUS ASTUDILLO	Alto Druida sólo puede bloquear.	Primer Bloque	Espada Sagrada	
Puck	espada_sagrada_aniversario	79	79	Aliado	Faerie	2	4	GABRIEL RODRÍGUEZ	En guerra de Talismanes y una vez por turno, puedes pagar 1 de oro para que un Aliado oponente no pueda bloquear o atacar durante esté turno.	Primer Bloque	Espada Sagrada	
Plaga	espada_sagrada_aniversario	80	80	Talisman			5	MAURICIO HERRERA	Destruye dos Aliados oponentes.	Primer Bloque	Espada Sagrada	
Transmutacion	espada_sagrada_aniversario	81	81	Talisman			3	MAURICIO HERRERA	En tu fase de vigilia y hasta el final del turno, tus Tótem pierden su habilidad y se consideran Aliados. En tu fase de ataque pueden ser declarados atacantes, con fuerza igual a su coste.	Primer Bloque	Espada Sagrada	
Cuna de Dragones	espada_sagrada_aniversario	82	82	Talisman			3	MAURICIO HERRERA	Busca 2 cartas en tu cementerio y barájalas con tu mazo castillo. Puedes robar 1 carta.	Primer Bloque	Espada Sagrada	
Santo Grial	espada_sagrada_aniversario	83	83	Talisman			1	MAURICIO HERRERA	En respuesta a que una de tus cartas en juego sea destruida, juega a Santo Grial para subirla a la mano.	Primer Bloque	Espada Sagrada	
Una	espada_sagrada_aniversario	84	84	Talisman			4	WALDO RETAMALES	Juega a Una en guerra de Talismanes. Los jugadores descartan de su mano y roban la misma cantidad que tenían. Los 2 siguientes turnos no pueden declarar ataque.	Primer Bloque	Espada Sagrada	
Aulladores Blancos	espada_sagrada_aniversario	85	85	Talisman			2	WALDO RETAMALES	En respuesta a que una de tus cartas sea destruida, destruye una carta oponente del mismo tipo.	Primer Bloque	Espada Sagrada	
Atraer la Tormenta	espada_sagrada_aniversario	86	86	Talisman			1	GABRIEL RODRÍGUEZ	Anula una carta oponente, a menos que éste bote 3 cartas. Atraer la Tormenta no afecta a los oros.	Primer Bloque	Espada Sagrada	
Caballo Lunar	espada_sagrada_aniversario	87	87	Talisman			4	WALDO RETAMALES	Mira la mano de tu oponente y descarta todos los aliados que tenga.	Primer Bloque	Espada Sagrada	
Totem de la Ultima Cancion	espada_sagrada_aniversario	88	88	Totem			3	JUAN VÁSQUEZ	En tu fase de vigilia y una vez por turno, puedes pagar 2 de oro para buscar un Tótem en tu mazo castillo y ponerlo en tu mano.	Primer Bloque	Espada Sagrada	
Excalibur	espada_sagrada_aniversario	89	89	Arma			3	MAURICIO HERRERA	Sólo puede ser portada por Rey Arturo Pendragón. Gana + 3 a la fuerza. En tu fase de vigilia y una vez por turno, puedes descartar 1 para que gane un bono de fuerza igual al coste en oro de la carta descartada.	Primer Bloque	Espada Sagrada	
Gitanos	espada_sagrada_aniversario	90	90	Talisman			3	ABBAY	Busca una carta en tu Mazo Castillo y pónla en tu mano.	Primer Bloque	Espada Sagrada	
Jerusalen	espada_sagrada_aniversario	91	91	Totem			6	MAURICIO HERRERA	Mientras Jerusalén esté en juego, los jugadores se saltan la Fase de Agrupación.	Primer Bloque	Espada Sagrada	
Jaques de Molay	espada_sagrada_aniversario	92	92	Aliado	Caballero	4	4	MAURICIO HERRERA	Jaques de Molay puede atacar cuando entra en juego. Si lo hace, busca en el Mazo Castillo de tu oponente 2 Talismanes y envíalos al Cementerio.	Primer Bloque	Espada Sagrada	
Siroco	espada_sagrada_aniversario	93	93	Talisman			5	MAURICIO HERRERA	En tu Fase de Vigilia, busca en el Cementerio oponente un aliado de fuerza 3 o menos y pónlo en tu Línea de Defensa (hasta salir del juego se considera bajo tu control).	Primer Bloque	Espada Sagrada	
Mesa Redonda	espada_sagrada_aniversario	94	94	Oro				WALDO RETAMALES	En respuesta a que Mesa Redonda sea destruido, destruye 1 oro oponente.	Primer Bloque	Espada Sagrada	
El Obispo de Londinium	espada_sagrada_aniversario	95	95	Aliado	Caballero	2	4	ABBAY	Cuando El Obispo De Londinium entra en juego, tu oponente bota 3 cartas.	Primer Bloque	Espada Sagrada	
Arca de la Alianza	espada_sagrada_aniversario	96	96	Talisman			4	MAURICIO HERRERA	En respuesta a finalizar un turno. Juega Arca de la Alianza y devuelve al juego a todos tus aliados, armas, oros y tótems destruidos en esté turno. Carta única.	Primer Bloque	Espada Sagrada	
Ataque de Aliento	espada_sagrada_aniversario	97	97	Talisman			3	WALDO RETAMALES	En respuesta a resolver el daño, juega Ataque de Aliento para que tu oponente reciba el mismo daño hecho a tu mazo castillo.	Primer Bloque	Espada Sagrada	
La Espada en la Piedra	espada_sagrada_aniversario	98	98	Talisman			2	MAURICIO HERRERA	Si el Rey Arturo Pendragón no esta en juego, los Caballeros no pueden atacar en los 2 siguientes turnos.	Primer Bloque	Espada Sagrada	
Barco	espada_sagrada_aniversario	99	99	Talisman			2	GABRIEL RODRÍGUEZ	Juega Barco en tu fase de vigilia, si tienes a Merlín en juego tus faeries son imbloqueables hasta el final del turno	Primer Bloque	Espada Sagrada	
Ma'Arrat An-Numan	espada_sagrada_aniversario	100	100	Talisman			6	CARLOS HERRERA	Destierra todos los aliados en juego.	Primer Bloque	Espada Sagrada	
Cornelius de York	espada_sagrada_aniversario	101	101	Aliado	Caballero	3	5	MAURICIO HERRERA	En guerra de Talismanes, puedes desterrar a Cornelius de York para destruir un Caballero oponente de igual o menor fuerza.	Primer Bloque	Espada Sagrada	
Sir Lancelot	espada_sagrada_aniversario	102	102	Aliado	Caballero	1	4	WALDO RETAMALES	Sir Lancelot no puede ser afectado por Talismanes. No tiene límite de armas. Por cada arma que porte, gana + 2 a la fuerza.	Primer Bloque	Espada Sagrada	
Sir Gawein	espada_sagrada_aniversario	103	103	Aliado	Caballero	2	3	WALDO RETAMALES	En guerra de Talismanes, destierra a Sir Gawein para que no se puedan jugar Talismanes hasta el final del turno.	Primer Bloque	Espada Sagrada	
Lady Dawn	espada_sagrada_aniversario	104	104	Aliado	Caballero	1	4	JUAN VÁSQUEZ	En respuesta a que uno de tus Caballeros sea destruido, puedes pagar 3 de oro o destruir a Lady Dawn para salvarlo.	Primer Bloque	Espada Sagrada	
Principe Valiant	espada_sagrada_aniversario	105	105	Aliado	Caballero	2	4	JUAN VÁSQUEZ	En guerra de Talismanes, puedes destruir Príncipe Valiant para que tus Caballeros sean imbloqueables hasta el final del turno.	Primer Bloque	Espada Sagrada	
Josofones	espada_sagrada_aniversario	106	106	Aliado	Caballero	1	3	GABRIEL RODRÍGUEZ	Cuando Josofones entra en juego, puedes buscar en tu mazo castillo a Sir Boores y ponerlo en tu mano. Al final del turno, no puedes robar.	Primer Bloque	Espada Sagrada	
El Gran Wyrm	espada_sagrada_aniversario	107	107	Aliado	Dragon	4	6	MAURICIO HERRERA	Sólo puedes tener en juego a un El Gran Wyrm. Mientras esté en juego, tus demás Dragones ganan + 1 a la fuerza y pueden atacar cuando entran en juego.	Primer Bloque	Espada Sagrada	
Basoon	espada_sagrada_aniversario	108	108	Aliado	Dragon	1	3	MAURICIO HERRERA	Mientras Basoon esté en juego, cada vez que bajes un Dragón, tu oponente bota 1 carta.	Primer Bloque	Espada Sagrada	
Oberon	espada_sagrada_aniversario	109	109	Aliado	Faerie	1	4	JUAN VÁSQUEZ	Solo puedes tener un Oberon en juego. En tu fase de vigilia y una vez por turno, puedes pagar el coste de un Aliado oponente y destruirlo.	Primer Bloque	Espada Sagrada	
Mago Merlin	espada_sagrada_aniversario	110	110	Aliado	Faerie	3	4	MAURICIO HERRERA	Mientras Mago Merlín esté en juego: en guerra de Talismanes, puedes pagar 3 de oro para buscar un Talismán en tu mazo castillo o cementerio y ponerlo en tu mano.	Primer Bloque	Espada Sagrada	
Mordred	espada_sagrada_aniversario	111	111	Aliado	Faerie	2	3	MAURICIO HERRERA	Si Mordred es declarado atacante, debe ser bloqueado por un Aliado oponente a tu elección.	Primer Bloque	Espada Sagrada	
Las Tres Hermanas	espada_sagrada_aniversario	112	112	Aliado	Faerie	1	3	GABRIEL RODRÍGUEZ	En guerra de Talismanes y una vez por turno, puedes pagar 2 de oro para que un aliado en juego vuelva a la mano.	Primer Bloque	Espada Sagrada	
Each Usige	espada_sagrada_aniversario	113	113	Aliado	Faerie	2	3	JUAN VÁSQUEZ	En tu fase de vigilia y una vez por turno, puedes pagar el coste de una carta en tu cementerio para barajarla en tu mazo castillo.	Primer Bloque	Espada Sagrada	
Ellyllon	espada_sagrada_aniversario	114	114	Aliado	Faerie	2	4	WALDO RETAMALES	Cada vez que Ellyllon entre o salga del juego, tu oponente bota 2 cartas.	Primer Bloque	Espada Sagrada	
La Traicion de Lancelot	espada_sagrada_aniversario	115	115	Talisman			3	MAURICIO HERRERA	Destruye uno de tus Aliados para que tu oponente bote tantas cartas como fuerza tenga el Aliado.	Primer Bloque	Espada Sagrada	
La Mirada de Mordred	espada_sagrada_aniversario	116	116	Talisman			2	MAURICIO HERRERA	En respuesta a declarar tu bloqueo, tus Aliados en línea de ataque vuelven a la línea de defensa y pueden ser declarados bloqueadores.	Primer Bloque	Espada Sagrada	
Claymore	espada_sagrada_aniversario	117	117	Arma			4	MAURICIO HERRERA	Si su portador hace daño, puedes subir dos cartas en juego de tu oponente a su mano. Esta habilidad no afecta a los oros.	Primer Bloque	Espada Sagrada	
Torre de Campaña	espada_sagrada_aniversario	118	118	Arma			3	GABRIEL RODRÍGUEZ	El portador de Torre de Campaña se considera imbloqueable. Después de atacar, esté aliado es barajado en el Mazo Castillo y el Arma es destruida.	Primer Bloque	Espada Sagrada	
Ataque Sorpresa	espada_sagrada_aniversario	119	119	Talisman			2	ABBAY	En respuesta a resolver el daño, juega Ataque Sorpresa para que tu oponente reciba el mismo daño hecho a tu mazo castillo por uno de sus Aliados.	Primer Bloque	Espada Sagrada	
Woodhage	espada_sagrada_aniversario	120	120	Totem			3	JUAN VÁSQUEZ	Mientras Woodhage esté en juego, bajar Tótem cuesta + 1 oro .	Primer Bloque	Espada Sagrada	
El Circulo Eterno	espada_sagrada_aniversario	121	121	Totem			3	MAURICIO HERRERA	Mientras esté en juego, todas las cartas se consideran Carta Única. Cuando El Círculo Eterno entra en juego y si algún jugador tiene 2 o más copias de una carta, debe dejar sólo una en juego y las demás destruirlas. esté Tótem no afecta cartas oro.	Primer Bloque	Espada Sagrada	
Espada de Cristal	espada_sagrada_aniversario	122	122	Arma			2	MAURICIO HERRERA	Su portador sólo puede ser un Faerie. Si tu oponente juega un Talismán, en respuesta puedes destruir Espada de Cristal para anularlo.	Primer Bloque	Espada Sagrada	
Escudo Sidhe	espada_sagrada_aniversario	123	123	Arma			2	MAURICIO HERRERA	Cuando el portador de Escudo Sidhe bloquea, no puede ser destruido hasta el final del turno.	Primer Bloque	Espada Sagrada	
Malla de Mitril	espada_sagrada_aniversario	124	124	Arma			4	MAURICIO HERRERA	Sólo puede ser portada por un Dragón. Gana + 2 a la fuerza y no puede ser destruido por Talismanes.	Primer Bloque	Espada Sagrada	
Lanza de los Dioses	espada_sagrada_aniversario	125	125	Arma			3	MAURICIO HERRERA	Su portador gana + 4 a la fuerza. En respuesta a finalizar tu turno y si el portador no fue destruido en batalla mitológica, agrúpalo a línea de defensa y destierra La Lanza de Los Dioses.	Primer Bloque	Espada Sagrada	
Armadura del Sol	espada_sagrada_aniversario	126	126	Arma			3	MAURICIO HERRERA	Por cada Talismán jugado en guerra de Talismanes, el portador de La Armadura del Sol gana + 1 a la fuerza hasta el final del turno.	Primer Bloque	Espada Sagrada	
Espada Dragon	espada_sagrada_aniversario	127	127	Arma			4	MAURICIO HERRERA	Su portador debe ser un Dragón. Gana + 2 a la fuerza. En tu fase de vigilia, destierra Espada Dragón para anular la habilidad de una carta en juego hasta el final del turno.	Primer Bloque	Espada Sagrada	
Stonehage	espada_sagrada_aniversario	128	128	Totem			4	WALDO RETAMALES	Mientras Stonhage esté en juego, los oros en juego pierden sus habilidades.	Primer Bloque	Espada Sagrada	
Totem Maldito	espada_sagrada_aniversario	129	129	Totem			5	MAURICIO HERRERA	En respuesta a un ataque oponente y sólo una vez por turno, puedes eligir un Aliado en su línea de defensa para bloquear su ataque. Si no es destruido, al final del turno devuélvelo a la línea de defensa del oponente.	Primer Bloque	Espada Sagrada	
Totem de Fe	espada_sagrada_aniversario	130	130	Totem			3	WALDO RETAMALES	Mientras Tótem de Fe esté en juego, en guerra de Talismanes, cada jugador sólo puede jugar un Talismán.	Primer Bloque	Espada Sagrada	
Totem de Runas Elficas	espada_sagrada_aniversario	131	131	Totem			6	MAURICIO HERRERA	En respuesta a declarar tu ataque y sólo una vez por turno, puedes eligir un Aliado oponente y ponerlo en tu Línea de ataque. Si no es destruido, al final del turno devuélvelo a la línea de defensa del oponente.	Primer Bloque	Espada Sagrada	
Mezquita de Damasco	espada_sagrada_aniversario	132	132	Totem			3	MAURICIO HERRERA	En Guerra de Talismanes, todos los aliados en juego pierden sus habilidades.	Primer Bloque	Espada Sagrada	
Fantasmas del Desierto	espada_sagrada_aniversario	133	133	Talisman			4	MAURICIO HERRERA	En Guerra de Talismanes, todos los aliados en juego tienen fuerza 1 y no pueden recibir bonos de fuerza hasta el final del turno.	Primer Bloque	Espada Sagrada	
Pedro el Ermitaño	espada_sagrada_aniversario	134	134	Aliado	Caballero	3	3	MAURICIO HERRERA	En tu Fase de Vigilia, puedes descartar 1 carta para que Pedro el Ermitaño no pueda ser afectado por Talismanes hasta el final del turno.	Primer Bloque	Espada Sagrada	
La Llama Fria	espada_sagrada_aniversario	135	135	Talisman			5	MAURICIO HERRERA	En tu Fase de Vigilia, busca un aliado en tu Mazo Castillo y pónlo en tu Línea de Defensa.	Primer Bloque	Espada Sagrada	1
Bernardo de Clairvaux	espada_sagrada_aniversario	136	136	Aliado	Caballero	3	3	WALDO RETAMALES	En Guerra de Talismanes puedes desterrar a Bernardo de Clairvaux para robar 2 cartas.	Primer Bloque	Espada Sagrada	
Sir Owen	espada_sagrada_aniversario	137	137	Aliado	Caballero	2	3	ANDRÉS SILVA	Cuando Sir Owen entra en juego, roba 3 cartas y descarta 2.	Primer Bloque	Espada Sagrada	
Org, el Hechicero	espada_sagrada_aniversario	138	138	Aliado	Dragon	0	2	MAURICIO HERRERA	En guerra de Talismanes, puedes pagar 2 de oro para que un Aliado oponente tenga fuerza 0 hasta el final del turno.	Primer Bloque	Espada Sagrada	
Dragon Nival	espada_sagrada_aniversario	139	139	Aliado	Dragon	3	4	WALDO RETAMALES	Cuando Dragón Nival entra en juego, deben ser destruidos todos los Aliados de fuerza 2 o menos.	Primer Bloque	Espada Sagrada	
Bruja Anis	espada_sagrada_aniversario	140	140	Aliado	Faerie	1	2	ANDRÉS SILVA	En tu Fase Final, si todos tus Aliados son de raza Faerie, puedes robar 1 carta.	Primer Bloque	Espada Sagrada	
Favor de la Corte	espada_sagrada_aniversario	141	141	Talisman			2	WALDO RETAMALES	Elige una carta oponente y devuélvela a su mano. Favor de la Corte no afecta oros.	Primer Bloque	Espada Sagrada	
Urisk	espada_sagrada_aniversario	142	142	Talisman			0	ABBAY	Cada jugador roba 2 cartas.	Primer Bloque	Espada Sagrada	
Totem de Nwyre	espada_sagrada_aniversario	143	143	Totem			3	VENUS ASTUDILLO	Paga 1 de oro y roba 1 carta.	Primer Bloque	Espada Sagrada	
Joyero	espada_sagrada_aniversario	144	144	Talisman			4	WALDO RETAMALES	Un Oro oponente pasa a tu reserva de Oro (hasta el final del Juego).	Primer Bloque	Espada Sagrada	
Cruzada de los Niños	espada_sagrada_aniversario	145	145	Talisman			3	MAURICIO HERRERA	En tu Fase de Vigilia, descarta 2 cartas al azar de la mano de tu oponente. (Carta Única).	Primer Bloque	Espada Sagrada	
Halconero Real	espada_sagrada_aniversario	146	146	Aliado	Caballero	0	0	JUAN VÁSQUEZ	Cuando entra en juego roba 1 carta, a menos que tu oponente descarte 1.	Primer Bloque	Espada Sagrada	
Guardia Real	espada_sagrada_aniversario	147	147	Aliado	Caballero	3	2	JUAN VÁSQUEZ	Guardia Real debe atacar al entrar en juego en todos tus turnos. Si algún turno no ataca, debe ser destruido.	Primer Bloque	Espada Sagrada	
